iso3,country_name,transition,year,n_natural_classes,natural_loss_sum_km2,weight_sum,bfnee_sum_km2,continent,region_un,subregion,bfnee_per_loss,log_bfnee,log_natural_loss,log_weight_sum
AGO,Angola,1995_2000,2000,65,496242.869462271,5.7050761661694e-4,283.110336845603,Africa,Africa,Middle Africa,5.705076168699038e-4,5.649362672730459,13.114822757178809,5.703449390162305e-4
AGO,Angola,2000_2005,2005,65,62394.9277811223,4.8978574339928e-4,30.5601460792432,Africa,Africa,Middle Africa,4.897857432650034e-4,3.4518951245868346,11.041255292310087,4.89665837512593e-4
AGO,Angola,2005_2010,2010,65,47942.1842644539,6.0985198638459e-4,29.2376362845652,Africa,Africa,Middle Africa,6.098519859522349e-4,3.4090873830633246,10.777771927652667,6.09666102232648e-4
AGO,Angola,2010_2015,2015,65,38421.6784061482,4.40568899934565e-5,1.692739660926,Africa,Africa,Middle Africa,4.405689004609255e-5,0.9905591366446764,10.556403147743461,4.405591951718256e-5
BDI,Burundi,1995_2000,2000,65,3838.86800475093,5.6155564565138e-4,2.15573800893699,Africa,Africa,Eastern Africa,5.615556477245581e-4,1.149222385892998,8.253193271228202,5.613980322828226e-4
BDI,Burundi,2000_2005,2005,65,1320.53868052147,0.00511681529119394,6.75695248256261,Africa,Africa,Eastern Africa,0.005116815268064957,2.048589535740663,7.186552003779787,0.0051037688769680735
BDI,Burundi,2005_2010,2010,65,853.722681789607,7.3550097654672e-4,0.627913868717471,Africa,Africa,Eastern Africa,7.355009795466759e-4,0.4872993599875669,6.750777067540231,7.352306282563021e-4
BDI,Burundi,2010_2015,2015,65,2250.18953054122,2.3863379125016e-4,0.536971261043838,Africa,Africa,Eastern Africa,2.3863379228979196e-4,0.42981376629696166,7.719214035736846,2.386053227359397e-4
BEN,Benin,1995_2000,2000,65,9535.47036675762,0.0124133033202223,118.366686081715,Africa,Africa,Western Africa,0.012413303332614064,4.782200150986767,9.162878713461748,0.012336889982014205
BEN,Benin,2000_2005,2005,65,7554.27984318048,0.00985866522256887,74.4751158599717,Africa,Africa,Western Africa,0.009858665207803104,4.32380301066919,8.93000191481244,0.009810385638094114
